name,description,price,brand,stock,colors,sizes,category,imagePath
Godrej 1.5 тонналық 4 жұлдызды инверторлы кондиционер,6 режимді ауыстыра алатын мүмкіндігі бар 1.5 тонналық сплит-кондиционер.,42000,Godrej,5,"Purple, Silver",1.5 тонна,Кондиционерлер,https://darlastores.netlify.app/assets/Ac/9.jpg
OGeneral 2 тонналық 5 жұлдызды инверторлы кондиционер,Жетілдірілген ауа тазарту жүйесі және энергия тиімді дизайны бар 2 тонналық сплит-кондиционер.,60000,OGeneral,4,"Brown, Grey",2 тонна,Кондиционерлер,https://darlastores.netlify.app/assets/Ac/10.jpg
HP Envy 14,"Intel i7 13-ші генерациясы, 16 ГБ ОЗУ және 1 ТБ SSD, артқы жарықтандырылатын пернетақтасымен 14 дюймдік ноутбук",95000,HP,12,"Silver, Black","14-inch, 15-inch",Компьютерлер,https://darlastores.netlify.app/assets/Computers/1.jpg
Dell XPS 13,"Intel i7 12-ші генерациясы, 32 ГБ ОЗУ және 1 ТБ SSD, ультра жұқа дизайны бар 13.4 дюймдік ноутбук",120000,Dell,10,"Platinum, Silver","13.4-inch, 14-inch",Компьютерлер,https://darlastores.netlify.app/assets/Computers/2.jpg
Lenovo Legion 5,"15.6 дюймдік ойын ноутбугы, Ryzen 7, 16 ГБ ЖЖҚ және 512 ГБ SSD, RGB пернетақтасы.",85000,Lenovo,8,"Phantom Blue, Black","15.6-inch, 17-inch",Компьютерлер,https://darlastores.netlify.app/assets/Computers/3.jpg
MacBook Pro 16 M2 Max,"16 дюймдік ноутбук, M2 Max чипі, 32 ГБ ЖЖҚ және 1 ТБ SSD, Retina дисплей.",200000,Apple,5,"Space Grey, Silver",16-inch,Компьютерлер,https://darlastores.netlify.app/assets/Computers/4.jpg
ASUS ROG Strix,"15.6 дюймдік ойын ноутбугы, Intel i9, 32 ГБ ЖЖҚ және 1 ТБ SSD, жоғары жаңарту жиілігі дисплейі.",130000,ASUS,7,"Black, Red","15.6-inch, 17-inch",Компьютерлер,https://darlastores.netlify.app/assets/Computers/5.jpg
Microsoft Surface Laptop 5,"13.5 дюймдік ноутбук, Intel i7, 16 ГБ ЖЖҚ және 512 ГБ SSD, ықшам дизайн.",110000,Microsoft,9,"Platinum, Black","13.5-inch, 15-inch",Компьютерлер,https://darlastores.netlify.app/assets/Computers/6.jpg
Razer Blade 15,"15.6 дюймдік ойын ноутбугы, Intel i7, 16 ГБ ЖЖҚ және 1 ТБ SSD, реттелетін RGB жарығы.",140000,Razer,6,"Black, Green",15.6-inch,Компьютерлер,https://darlastores.netlify.app/assets/Computers/7.jpg
Lenovo ThinkPad X1 Carbon,"14 дюймдік бизнес ноутбук, Intel i5, 16 ГБ ЖЖҚ және 512 ГБ SSD, берік корпус.",90000,Lenovo,11,"Black, Grey",14-inch,Компьютерлер,https://darlastores.netlify.app/assets/Computers/8.jpg
MSI Katana 17,"17.3 дюймдік ойын ноутбугы, Intel i7, 32 ГБ ЖЖҚ және 1 ТБ SSD, жоғары өнімділікпен салқындату жүйесі.",110000,MSI,4,"Black, Blue",17.3-inch,Компьютерлер,https://darlastores.netlify.app/assets/Computers/9.jpg
HP Spectre x360,"13.3 дюймдік айналмалы ноутбук, Intel i7, 16 ГБ ЖЖҚ және 1 ТБ SSD, сенсорлық экран.",130000,HP,3,"Silver, Gold","13.3-inch, 14-inch",Компьютерлер,https://darlastores.netlify.app/assets/Computers/10.jpg
LG 260L 3 жұлдызды мұзсыз тоңазытқыш,"260L мұзсыз тоңазытқыш, ақылды инвертор компрессормен.",30000,LG,15,"Silver, Black","260L, 300L",Тоңазытқыштар,https://darlastores.netlify.app/assets/Fridge/1.jpg
Samsung 253L 2 жұлдызды жоғарғы мұздатқышты тоңазытқыш,"253L жоғарғы мұздатқышты тоңазытқыш, энергияны үнемдейтін дизайнмен.",25000,Samsung,10,"White, Grey","253L, 300L",Тоңазытқыштар,https://darlastores.netlify.app/assets/Fridge/2.jpg
Whirlpool 265L 3 жұлдызды мұзсыз тоңазытқыш,"265L мұзсыз тоңазытқыш, бейімделетін интеллектпен.",28000,Whirlpool,12,"Black, Silver","265L, 300L",Тоңазытқыштар,https://darlastores.netlify.app/assets/Fridge/3.jpg
Godrej 190L 5 жұлдызды тікелей салқындатқыш тоңазытқыш,"190L тікелей салқындату жүйесі бар тоңазытқыш, сәнді дизайнмен.",22000,Godrej,8,"Red, Blue","190L, 210L",Тоңазытқыштар,https://darlastores.netlify.app/assets/Fridge/4.jpg
Haier 320L 3 жұлдызды мұзсыз тоңазытқыш,"320L мұзсыз тоңазытқыш, ықшам дизайн және LED жарығымен.",32000,Haier,6,"Grey, Silver","320L, 350L",Тоңазытқыштар,https://darlastores.netlify.app/assets/Fridge/5.jpg
Bosch 252L 4 жұлдызды мұзсыз тоңазытқыш,"252L мұзсыз тоңазытқыш, VitaFresh технологиясымен.",35000,Bosch,5,"Black, White","252L, 300L",Тоңазытқыштар,https://darlastores.netlify.app/assets/Fridge/6.jpg
Samsung 501L 4 жұлдызды Side-by-Side тоңазытқыш,"501L Side-by-Side тоңазытқыш, цифрлық инвертор технологиясымен.",75000,Samsung,4,"Stainless Steel, Black","501L, 600L",Тоңазытқыштар,https://darlastores.netlify.app/assets/Fridge/8.jpg
Whirlpool 340L 3 жұлдызды мұзсыз тоңазытқыш,"340L мұзсыз тоңазытқыш, 6th Sense технологиясымен.",40000,Whirlpool,7,"Blue, Silver","340L, 400L",Тоңазытқыштар,https://darlastores.netlify.app/assets/Fridge/9.jpg
Godrej 190L 4 жұлдызды тікелей салқындатқыш тоңазытқыш,"190L тікелей салқындату жүйесі бар тоңазытқыш, сәнді дизайнмен.",21000,Godrej,9,"Green, White","190L, 210L",Тоңазытқыштар,https://darlastores.netlify.app/assets/Fridge/10.jpg
IKEA Hemnes 6 жәшікті комод,"Алты жәшігі бар сәнді комод, сақтау үшін кең орынмен.",15000,IKEA,10,"White, Black","60x40x80 cm, 80x50x100 cm",Жиһаздар,https://darlastores.netlify.app/assets/Furniture/1.jpg
Urban Ladder заманауи кофе үстелі,"Заманауи кофе үстелі, ықшам дизайны және сақтау кеңістігімен.",8000,Urban Ladder,15,"Brown, Black","100x60x45 cm, 120x70x50 cm",Жиһаздар,https://darlastores.netlify.app/assets/Furniture/2.jpg
Home Centre 3 орынды диван жиынтығы,"Жайлы үш орындық диван жиынтығы, жұмсақ жастықтармен.",25000,Home Centre,8,"Grey, Blue","200x90x85 cm, 220x100x90 cm",Жиһаздар,https://darlastores.netlify.app/assets/Furniture/3.jpg
Pepperfry 6 адамдық асхана үстелі,"Сәнді асхана үстелі, алты адамға арналған.",20000,Pepperfry,12,"Wooden, Glass","150x90x75 cm, 180x100x75 cm",Жиһаздар,https://darlastores.netlify.app/assets/Furniture/4.jpg
FabIndia дәстүрлі ағаш кереует,"Queen өлшемді ағаш кереует, дәстүрлі дизайнмен.",30000,FabIndia,5,"Brown, Natural","160x200 cm, 180x200 cm",Жиһаздар,https://darlastores.netlify.app/assets/Furniture/5.jpg
Hometown реттелетін релакс-кресло,"Жайлы кресло, реттелетін функциялармен.",12000,Hometown,7,"Grey, Brown",80x90x100 cm,Жиһаздар,https://darlastores.netlify.app/assets/Furniture/6.jpg
Godrej кеңсе үстелі,"Көп жәшіктері бар кең кеңсе үстелі.",15000,Godrej,6,"Black, Walnut",120x60x75 cm,Жиһаздар,https://darlastores.netlify.app/assets/Furniture/7.jpg
HomeTown 5 сөрелі кітап сөресі,"Бес сөресі бар стильді кітап сөресі, сақтау үшін кең орынмен.",10000,HomeTown,9,"White, Brown",80x30x180 cm,Жиһаздар,https://darlastores.netlify.app/assets/Furniture/8.jpg
Pepperfry заманауи ТВ тумбасы,"Медиа құрылғыларға арналған сақтау орындары бар заманауи ТВ тумбасы.",18000,Pepperfry,4,"Black, Oak",150x40x50 cm,Жиһаздар,https://darlastores.netlify.app/assets/Furniture/9.jpg
Urban Ladder төсек жанындағы үстелше,"Бір жәшігі бар ықшам төсек жанындағы үстелше.",5000,Urban Ladder,11,"White, Brown",40x30x50 cm,Жиһаздар,https://darlastores.netlify.app/assets/Furniture/10.jpg
Prestige 5 литрлік қысымды пеш,"5 литрлік алюминийден жасалған қысымды пеш – газға арналған.",1899,Prestige,20,"Silver, Black",35x20x18 cm,Ас үй техникасы,https://darlastores.netlify.app/assets/Kitchen/1.jpg
Borosil 3 бөліктен тұратын шыны ыдыс жинағы,"Микротолқынды пешке қауіпсіз, мөлдір 3 бөліктен тұратын шыны ыдыс жинағы.",799,Borosil,50,Transparent,15x15x15 cm,Ас үй техникасы,https://darlastores.netlify.app/assets/Kitchen/2.jpg
Pigeon 28 см жабыспайтын таба,"28 см жабыспайтын тұтқасы бар таба, индукциялық негізімен.",699,Pigeon,35,"Black, Red",28x28x5 cm,Ас үй техникасы,https://darlastores.netlify.app/assets/Kitchen/3.jpg
Milton 1 литрлік термос,"1 литрлік тот баспайтын болаттан жасалған термос – ыстық және суық сусындарға арналған.",999,Milton,60,"Steel, Grey",8x8x30 cm,Ас үй техникасы,https://darlastores.netlify.app/assets/Kitchen/4.jpg
Philips 750 Вт блендер,"750 Вт қуатты блендер, 3 тот баспайтын болаттан жасалған ыдыс және пульстік функциямен.",3499,Philips,18,"White, Blue",20x25x35 cm,Ас үй техникасы,https://darlastores.netlify.app/assets/Kitchen/5.jpg
Cello 10 бөлікті пластик контейнер жинағы,"10 дана ауа өткізбейтін ас үйге арналған BPA-сыз контейнерлер жинағы.",499,Cello,80,"Blue, White",Varies,Ас үй техникасы,https://darlastores.netlify.app/assets/Kitchen/6.jpg
Wonderchef электр тандыр грилі,"2000 Вт қуатты электр тандыр және сэндвич грилі.",2899,Wonderchef,10,"Black, Red",35x30x15 cm,Ас үй техникасы,https://darlastores.netlify.app/assets/Kitchen/9.jpg
Bajaj 1.5 литрлік сымсыз электр шәйнек,"1.5L сымсыз электр шәйнек – автоматты сөндіру функциясымен.",1299,Bajaj,30,"Black, Steel",20x15x25 cm,Ас үй техникасы,https://darlastores.netlify.app/assets/Kitchen/10.jpg
Apple iPhone 14,"128 ГБ, A15 Bionic чипі, 6.1 дюймдік OLED дисплей, қос камера",79999,Apple,40,"Black, White, Red",14.7x7.2x0.8 cm,Смартфондар,https://darlastores.netlify.app/assets/Mobiles/1.jpg
Samsung Galaxy S22,"128 ГБ, 8 ГБ ЖЖҚ, 6.1 дюймдік Dynamic AMOLED 2X, үш камера",74999,Samsung,50,"Phantom Black, White",15.7x7.3x0.8 cm,Смартфондар,https://darlastores.netlify.app/assets/Mobiles/2.jpg
OnePlus 9 Pro,"256 ГБ, 12 ГБ ЖЖҚ, 6.7 дюймдік Fluid AMOLED, төрт камера",64999,OnePlus,30,"Morning Mist, Pine Green",16.4x7.4x0.8 cm,Смартфондар,https://darlastores.netlify.app/assets/Mobiles/3.jpg
Xiaomi Mi 11,"128 ГБ, 8 ГБ ЖЖҚ, 6.81 дюймдік AMOLED, үш камера",42999,Xiaomi,60,"Horizon Blue, Midnight Gray",16.5x7.5x0.8 cm,Смартфондар,https://darlastores.netlify.app/assets/Mobiles/4.jpg
Realme GT 5G,"128 ГБ, 8 ГБ ЖЖҚ, 6.43 дюймдік Super AMOLED, үш камера",28999,Realme,80,"Dashing Silver, Racing Yellow",16.4x7.4x0.8 cm,Смартфондар,https://darlastores.netlify.app/assets/Mobiles/5.jpg
Vivo V21e,"128 ГБ, 8 ГБ ЖЖҚ, 6.44 дюймдік AMOLED, қос камера",24999,Vivo,90,"Sunset Jazz, Midnight Blue",16.3x7.5x0.8 cm,Смартфондар,https://darlastores.netlify.app/assets/Mobiles/6.jpg
Oppo F19 Pro,"128 ГБ, 6 ГБ ЖЖҚ, 6.43 дюймдік AMOLED, төрт камера",24999,Oppo,50,"Midnight Blue, Crystal Silver",16.3x7.4x0.8 cm,Смартфондар,https://darlastores.netlify.app/assets/Mobiles/7.jpg
Samsung Galaxy A52,"128 ГБ, 6 ГБ ЖЖҚ, 6.5 дюймдік Super AMOLED, төрт камера",26999,Samsung,70,"Awesome Black, Awesome White",15.9x7.5x0.8 cm,Смартфондар,https://darlastores.netlify.app/assets/Mobiles/8.jpg
Google Pixel 6,"128 ГБ, 8 ГБ ЖЖҚ, 6.4 дюймдік AMOLED, қос камера",59999,Google,25,"Stormy Black, Sorta Seafoam",15.8x7.5x0.9 cm,Смартфондар,https://darlastores.netlify.app/assets/Mobiles/10.jpg
Bose SoundLink Revolve,"360° дыбыспен жабдықталған портативті Bluetooth динамигі",12999,Bose,25,"Black, Silver",18x18x10 cm,Аудио жүйелер,https://darlastores.netlify.app/assets/Speakers/1.jpg
Sony SRS-XB12,"Extra Bass технологиясымен жабдықталған ықшам Bluetooth динамигі",4999,Sony,50,"Black, Blue, Pink",9x9x9 cm,Аудио жүйелер,https://darlastores.netlify.app/assets/Speakers/3.jpg
Ultimate Ears Megaboom 3,"Суға төзімді және соққыға берік, 360° дыбысты Bluetooth динамигі",14999,UE,20,"Black, Red, Blue",22x22x9 cm,Аудио жүйелер,https://darlastores.netlify.app/assets/Speakers/4.jpg
Marshall Stanmore II,"Жоғары сапалы дыбыспен және танымал дизайнымен Bluetooth динамигі",24999,Marshall,15,"Black, Cream, Brown",35x20x18 cm,Аудио жүйелер,https://darlastores.netlify.app/assets/Speakers/5.jpg
Samsung 55 дюймдік QLED теледидар,"HDR10+ және Quantum Dot дисплейімен 4K Ultra HD ақылды QLED теледидар",79999,Samsung,30,Black,123x72x15 cm,ТВ және аксессуарлар,https://darlastores.netlify.app/assets/TV/1.jpg
LG 50 дюймдік LED теледидар,"webOS және AI Sound жүйесімен жабдықталған 4K UHD ақылды LED теледидар",45999,LG,50,Black,113x66x8 cm,ТВ және аксессуарлар,https://darlastores.netlify.app/assets/TV/2.jpg
Sony 65 дюймдік Bravia теледидар,"OLED және Dolby Vision технологиясымен 4K UHD ақылды теледидар",129999,Sony,20,Black,145x85x10 cm,ТВ және аксессуарлар,https://darlastores.netlify.app/assets/TV/3.jpg
Xiaomi Mi TV 4X 55,"Android TV және Google Assistant жүйесімен 4K UHD ақылды теледидар",29999,Xiaomi,100,Black,123x72x10 cm,ТВ және аксессуарлар,https://darlastores.netlify.app/assets/TV/4.jpg
OnePlus 55 дюймдік QLED теледидар,"Oxygen Play және Dolby Vision қолдайтын 4K QLED теледидар",59999,OnePlus,40,Black,123x72x12 cm,ТВ және аксессуарлар,https://darlastores.netlify.app/assets/TV/5.jpg
Rolex Submariner,"Классикалық автоматты сүңгуір сағат, тот баспайтын болат корпуспен",799999,Rolex,10,"Silver, Black",40mm,Сағаттар,https://darlastores.netlify.app/assets/Watches/1.jpg
Casio G-Shock,"Соққыға төзімді, берік сандық сағат",5999,Casio,50,"Black, Blue, Red",50mm,Сағаттар,https://darlastores.netlify.app/assets/Watches/2.jpg
Fossil Hybrid HR,"Фитнес бақылауы және хабарландырулары бар гибридті ақылды сағат",9999,Fossil,70,"Black, Brown, Grey",44mm,Сағаттар,https://darlastores.netlify.app/assets/Watches/3.jpg
Apple Watch Series 7,"Фитнес бақылауы және ұялы байланыс функциясы бар ақылды сағат",43999,Apple,80,"Black, White, Gold",45mm,Сағаттар,https://darlastores.netlify.app/assets/Watches/4.jpg
